label,os,is_mobile,country,pageviews
0,iOS,true,Japan,4
0,iOS,true,United States,4
0,iOS,true,United States,4
0,iOS,true,United States,4
0,iOS,true,Denmark,4
0,iOS,true,United States,4
0,iOS,true,United Kingdom,4
0,iOS,true,United States,5
0,iOS,true,Canada,4
0,iOS,true,United States,5
0,iOS,true,United States,5
0,iOS,true,United States,5
0,iOS,true,United States,5
0,iOS,true,United States,5
0,iOS,true,United States,4
0,iOS,true,Israel,5
0,iOS,true,United States,5
0,iOS,true,United States,5
0,iOS,true,Croatia,5
0,iOS,true,United States,5
0,iOS,true,United Kingdom,5
0,iOS,true,United States,5
0,iOS,true,Canada,5
0,iOS,true,United States,6
0,iOS,true,Mexico,5
0,iOS,true,United States,6
0,iOS,true,United Kingdom,5
0,iOS,true,United States,4
0,iOS,true,United States,6
0,iOS,true,United States,6
0,iOS,true,Italy,5
0,iOS,true,Japan,6
0,iOS,true,Netherlands,6
0,iOS,true,United States,7
0,iOS,true,United Kingdom,7
0,iOS,true,Philippines,7
0,iOS,true,United States,7
0,iOS,true,United States,7
0,iOS,true,United States,7
0,iOS,true,Taiwan,7
0,iOS,true,United States,6
0,iOS,true,United States,6
0,iOS,true,United States,6
0,iOS,true,Japan,9
0,iOS,true,United States,8
0,iOS,true,United Kingdom,9
0,iOS,true,United States,10
0,iOS,true,United States,10
0,iOS,true,United States,11
0,iOS,true,United States,11
0,iOS,true,Netherlands,8
0,iOS,true,United States,9
0,iOS,true,United States,7
0,iOS,true,United States,12
0,iOS,true,United States,10
0,iOS,true,Mexico,12
0,iOS,true,India,11
0,iOS,true,Taiwan,14
0,iOS,true,United States,12
0,iOS,true,United States,9
0,iOS,true,United States,16
0,iOS,true,Canada,17
0,iOS,true,Czechia,18
0,iOS,true,United States,16
0,iOS,true,United States,19
0,iOS,true,United States,21
0,iOS,true,United States,17
1,iOS,true,United States,25
0,iOS,true,United States,21
0,iOS,true,Italy,1
0,iOS,true,India,1
0,iOS,true,Russia,1
0,iOS,true,United States,1
0,iOS,true,Venezuela,1
0,iOS,true,Vietnam,1
0,iOS,true,United States,1
0,iOS,true,Venezuela,1
0,iOS,true,Kuwait,1
0,iOS,true,Japan,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United Arab Emirates,1
0,iOS,true,United States,1
0,iOS,true,India,1
